"ID","Plink_F_value","GenABEL_F_value","Plink_with_X_F_value","Freq_F_value","Freq_rsIDs_F_value"
"20170118_HSI001_121",-0.4458,-0.437249602237463,-0.4375,-0.4377,-0.4424
"20161012_HSI001_089",-0.4324,-0.42961549040375,-0.4299,-0.43,-0.4318
"20161012_HSI001_040",-0.3828,-0.381184918893405,-0.3815,-0.3816,-0.3869
"20161012_HSI001_020",-0.3509,-0.342794619449023,-0.3431,-0.3432,-0.3449
"20161012_HSI001_056",-0.344,-0.334470467224858,-0.3347,-0.3349,-0.338
"20170517_SWA001_003",-0.3371,-0.329982493891674,-0.3303,-0.3304,-0.3285
"20160126_71_1757",-0.3289,-0.312436417477295,-0.3127,-0.3127,-0.3113
"20161012_HSI001_064",-0.3161,-0.30540540254639,-0.3057,-0.3058,-0.3059
"20170530_SWA001_007",-0.3133,-0.310630528084583,-0.3109,-0.311,-0.3135
"20170530_SWA001_013",-0.3129,-0.307166673714074,-0.3074,-0.3075,-0.3088
"20160216_B07",-0.3053,-0.283275697687523,-0.2835,-0.2836,-0.288
"20160209_R006_G",-0.305,-0.279855920210685,-0.2801,-0.2802,-0.2767
"20170118_HSI001_092",-0.2988,-0.264959788612369,-0.2652,-0.2653,-0.2635
"20161012_HSI001_032",-0.298,-0.282258753106402,-0.2825,-0.2826,-0.2858
"20160209_DG01_06",-0.2941,-0.288165873434907,-0.2884,-0.2885,-0.292
"20161012_HSI001_033",-0.2897,-0.284651171028945,-0.2849,-0.285,-0.2869
"20170118_HSI001_123",-0.2832,-0.247309469097173,-0.2476,-0.2476,-0.2442
"20161012_HSI001_180",-0.2763,-0.268741837949104,-0.269,-0.2691,-0.2712
"20170214_HSI001_036",-0.2709,-0.275011230497697,-0.2753,-0.2753,-0.269
"20161012_HSI001_001",-0.2683,-0.261132765444325,-0.2614,-0.2615,-0.2602
"20170517_SWA001_014",-0.2611,-0.25181724657857,-0.2521,-0.2521,-0.2551
"20160314_LIP001_303",-0.2503,-0.243590918022037,-0.2439,-0.2438,-0.2438
"20161012_HSI001_027",-0.2499,-0.241784097315931,-0.242,-0.2421,-0.242
"20161101_HSI001_201",-0.2495,-0.212369914647682,-0.2126,-0.2127,-0.2175
"20170530_SWA001_018",-0.2455,-0.23554706773934,-0.2358,-0.2359,-0.238
"20161012_HSI001_182",-0.2444,-0.250063697940105,-0.2503,-0.2504,-0.2544
"20161012_HSI001_048",-0.2441,-0.234177551271912,-0.2344,-0.2345,-0.2354
"20170118_HSI001_023",-0.2415,-0.240744087716512,-0.241,-0.2411,-0.2427
"20170530_SWA001_010",-0.2412,-0.203738266358434,-0.204,-0.204,-0.2026
"20170517_SWA001_012",-0.235,-0.228291464080352,-0.2285,-0.2286,-0.2332
"20180927_KMN001_079",-0.2347,-0.1791684224876,-0.1794,-0.1795,-0.1785
"20170118_HSI001_142",-0.2234,-0.177771216431798,-0.178,-0.1781,-0.1828
"20161101_HSI001_128",-0.2216,-0.180173999037793,-0.1804,-0.1805,-0.1781
"20141007_ALR001_047",-0.2202,-0.165327054197612,-0.1656,-0.1656,-0.1606
"20161012_HSI001_138",-0.2201,-0.216848592911833,-0.2171,-0.2172,-0.2226
"20171120_HSI001_536",-0.2198,-0.165660790178574,-0.1659,-0.166,-0.1635
"20161101_HSI001_197",-0.2162,-0.209956482340629,-0.2102,-0.2103,-0.2128
"20170118_HSI001_109",-0.2162,-0.216170875846636,-0.2164,-0.2165,-0.2193
"20170411_MCF001_006",-0.2155,-0.17745896835308,-0.1777,-0.1777,-0.1792
"20161012_HSI001_055",-0.2147,-0.219633316109748,-0.2199,-0.22,-0.2091
"20180927_KMN001_080",-0.2136,-0.159097136958767,-0.1593,-0.1594,-0.1664
"20170517_SWA001_002",-0.2133,-0.209599940214031,-0.2099,-0.2099,-0.2099
"20180927_KMN001_030",-0.2122,-0.158053385989918,-0.1583,-0.1584,-0.1551
"20141007_ALR001_013",-0.2107,-0.156651340090639,-0.1569,-0.157,-0.1631
"20141007_ALR001_020",-0.2064,-0.152186505758373,-0.1524,-0.1525,-0.1573
"20141007_ALR001_033",-0.2057,-0.151485710601755,-0.1517,-0.1518,-0.1566
"20161219_HSI001_187",-0.2053,-0.207202373710077,-0.2075,-0.2075,-0.2058
"20170118_TZI001_060",-0.205,-0.167079355823732,-0.1673,-0.1674,-0.169
"20170710_HSI001_521",-0.2049,-0.201642635765882,-0.2019,-0.202,-0.2051
"20141007_ALR001_049",-0.2028,-0.149057959878087,-0.1493,-0.1494,-0.142
"20190117_BWH001_003",-0.2024,-0.148364670052664,-0.1486,-0.1487,-0.1489
"20161012_HSI001_205",-0.2021,-0.200960979914707,-0.2012,-0.2013,-0.2026
"20161130_HSI001_054",-0.2017,-0.198168072862331,-0.1984,-0.1985,-0.1996
"20141007_ALR001_041",-0.201,-0.146998480244893,-0.1472,-0.1473,-0.1518
"20170118_TZI001_095",-0.1999,-0.166389797870247,-0.1666,-0.1667,-0.169
"20161101_HSI001_098",-0.1991,-0.194710946340511,-0.195,-0.195,-0.2029
"20201105_SBL001_035",-0.1987,-0.145494144875268,-0.1457,-0.1458,-0.1529
"20141007_ALR001_046",-0.1981,-0.144231294570312,-0.1445,-0.1445,-0.1463
"20161101_HSI001_190",-0.1944,-0.147667763477985,-0.1479,-0.148,-0.1503
"20170517_SWA001_004",-0.193,-0.190917571225261,-0.1912,-0.1912,-0.1927
"20160216_B10",-0.1926,-0.168404926008776,-0.1686,-0.1687,-0.1704
"20180927_KMN001_006",-0.1923,-0.138678389588789,-0.1389,-0.139,-0.143
"20201105_SBL001_033",-0.1922,-0.18909533071162,-0.1893,-0.1894,-0.1909
"20220413_SBL001_046",-0.1922,-0.138578992035791,-0.1388,-0.1389,-0.1514
"20220413_SBL001_048",-0.1922,-0.138918964357546,-0.1392,-0.1392,-0.1518
"20170710_HSI001_506",-0.1901,-0.137981529786327,-0.1382,-0.1383,-0.1482
"20161012_HSI001_012",-0.189,-0.178479118911902,-0.1787,-0.1788,-0.1715
"20141007_ALR001_066",-0.1886,-0.186062159645758,-0.1863,-0.1864,-0.1934
"20170118_HSI001_141",-0.1868,-0.179172900485762,-0.1794,-0.1795,-0.181
"20170411_TZI001_457",-0.1858,-0.184391121645507,-0.1846,-0.1847,-0.1828
"20201008_SBL001_016",-0.1853,-0.17628784227251,-0.1765,-0.1766,-0.1821
"20220413_RKN001_005",-0.1835,-0.177677570165214,-0.1779,-0.178,-0.1788
"20220413_SBL001_065",-0.1835,-0.130609448811073,-0.1308,-0.1309,-0.1423
"20141007_ALR001_015",-0.1832,-0.13001741887756,-0.1303,-0.1303,-0.1281
"20141007_ALR001_050",-0.1832,-0.185035389285973,-0.1853,-0.1854,-0.1931
"20170710_HSI001_513",-0.1832,-0.133833451525855,-0.1341,-0.1341,-0.1368
"20190117_BWH001_011",-0.1832,-0.130007003672938,-0.1302,-0.1303,-0.1346
"20220526_GBK001_001",-0.1831,-0.1299262288079,-0.1302,-0.1302,-0.1445
"20220413_SBL001_047",-0.1827,-0.176293816445796,-0.1765,-0.1766,-0.1847
"20141007_ALR001_024",-0.1825,-0.129702085212204,-0.1299,-0.13,-0.1273
"20161101_HSI001_199",-0.1803,-0.1404196992308,-0.1407,-0.1407,-0.1343
"20190117_BWH001_013",-0.1803,-0.127260240729637,-0.1275,-0.1276,-0.1314
"20220526_GBK001_003",-0.1788,-0.125770009580595,-0.126,-0.1261,-0.1325
"20170517_SWA001_015",-0.1774,-0.173285094615517,-0.1735,-0.1736,-0.1781
"20201008_SBL001_017",-0.1773,-0.124390713561631,-0.1246,-0.1247,-0.1226
"20170214_HSI001_062",-0.176,-0.162572911811441,-0.1628,-0.1629,-0.158
"20141007_ALR001_009",-0.1756,-0.122744543569021,-0.123,-0.1231,-0.1288
"20160405_UCD001_057",-0.1752,-0.143145080746817,-0.1434,-0.1435,-0.1518
"20220413_RKN001_008",-0.1751,-0.170409537585854,-0.1707,-0.1707,-0.1843
"20160209_R082_G",-0.1745,-0.145973615731022,-0.1462,-0.1462,-0.1449
"20141007_ALR001_006",-0.1741,-0.123089306602154,-0.1233,-0.1234,-0.1299
"20141007_ALR001_065",-0.1738,-0.121027732764579,-0.1213,-0.1213,-0.1219
"20220526_GBK001_005",-0.1737,-0.17561139920219,-0.1759,-0.1759,-0.1883
"20201008_SBL001_026",-0.173,-0.120234489736904,-0.1205,-0.1205,-0.1255
"20141007_ALR001_067",-0.1727,-0.119988162140764,-0.1202,-0.1203,-0.1222
"20170517_MOR001_010",-0.1723,-0.120319269995491,-0.1206,-0.1206,-0.1241
"20161101_HSI001_473",-0.1712,-0.165298715661541,-0.1655,-0.1656,-0.1675
"20201008_SBL001_020",-0.1697,-0.117125723470077,-0.1174,-0.1174,-0.1248
"20161101_HSI001_195",-0.1694,-0.162899611326266,-0.1631,-0.1632,-0.1682
"20220413_RKN001_007",-0.1683,-0.168345273596986,-0.1686,-0.1686,-0.1788
"20161101_HSI001_185",-0.168,-0.162885450035359,-0.1631,-0.1632,-0.1624
"20170214_MCF001_002",-0.1677,-0.125218993197209,-0.1255,-0.1255,-0.1219
"20141007_ALR001_044",-0.1666,-0.171210934246625,-0.1715,-0.1715,-0.1755
"20161101_HSI001_474",-0.1665,-0.165643230491548,-0.1659,-0.166,-0.1675
"20170411_MCF001_004",-0.1662,-0.127639925657721,-0.1279,-0.1279,-0.1266
"20190117_BWH001_001",-0.1662,-0.114093102776604,-0.1143,-0.1144,-0.12
"20190117_BWH001_010",-0.1662,-0.114093120007681,-0.1143,-0.1144,-0.12
"20170710_HSI001_522",-0.1658,-0.166009903880659,-0.1663,-0.1663,-0.1693
"20160209_R073_G",-0.1651,-0.133518149758386,-0.1338,-0.1338,-0.1339
"20170517_MOR001_004",-0.1651,-0.115815568819392,-0.116,-0.1161,-0.1197
"20201001_SBL001_007",-0.1643,-0.158990524466136,-0.1592,-0.1593,-0.165
"20201105_SBL001_042",-0.1643,-0.159338709419148,-0.1596,-0.1596,-0.1628
"20220413_SBL001_049",-0.1635,-0.160721518912612,-0.161,-0.161,-0.1671
"20171120_HSI001_532",-0.1633,-0.164994566701535,-0.1652,-0.1653,-0.1701
"20201105_SBL001_028",-0.1628,-0.11054363517181,-0.1108,-0.1108,-0.1204
"20161101_HSI001_481",-0.1626,-0.155277294018275,-0.1555,-0.1556,-0.1514
"20220526_GBK001_008",-0.1625,-0.110194854336876,-0.1104,-0.1105,-0.1179
"20201001_SBL001_004",-0.1614,-0.109501384885188,-0.1097,-0.1098,-0.1095
"20181025_KMN001_020",-0.1607,-0.108561860933352,-0.1088,-0.1089,-0.1164
"20170710_HSI001_501",-0.1604,-0.162225987870969,-0.1625,-0.1625,-0.1639
"20201008_SBL001_018",-0.1603,-0.108471338886339,-0.1087,-0.1088,-0.116
"20170118_HSI001_204",-0.16,-0.114465436274136,-0.1147,-0.1148,-0.1138
"20220413_RKN001_002",-0.1599,-0.159684478438537,-0.1599,-0.16,-0.1686
"20220413_SBL001_060",-0.1596,-0.158652949207166,-0.1589,-0.159,-0.1653
"20141007_ALR001_053",-0.1593,-0.10721071629412,-0.1074,-0.1075,-0.1029
"20170517_MOR001_025",-0.1593,-0.11338990893091,-0.1136,-0.1137,-0.1164
"20220413_SBL001_061",-0.1592,-0.107090111114441,-0.1073,-0.1074,-0.1124
"20220413_SBL001_059",-0.1588,-0.107083436055314,-0.1073,-0.1074,-0.1219
"20170710_HSI001_518",-0.1586,-0.158758495999462,-0.159,-0.1591,-0.1617
"20201001_SBL001_005",-0.1581,-0.106037071521402,-0.1063,-0.1063,-0.1106
"20201001_SBL001_009",-0.1581,-0.106040126685881,-0.1063,-0.1063,-0.1116
"20201008_SBL001_025",-0.1581,-0.154842187088121,-0.1551,-0.1551,-0.1587
"20201105_SBL001_034",-0.1581,-0.106046490894883,-0.1063,-0.1063,-0.1095
"20201105_SBL001_038",-0.1581,-0.106389125355736,-0.1066,-0.1067,-0.1127
"20210426_SBL001_005",-0.1581,-0.106037724010547,-0.1063,-0.1063,-0.1135
"20201001_SBL001_015",-0.157,-0.158655118021273,-0.1589,-0.159,-0.1598
"20210426_SBL001_004",-0.157,-0.105003068635482,-0.1052,-0.1053,-0.1069
"20220413_SBL001_063",-0.1567,-0.143418195370642,-0.1437,-0.1437,-0.1511
"20170710_HSI001_507",-0.1564,-0.158404859319157,-0.1586,-0.1587,-0.1646
"20210426_SBL001_007",-0.1563,-0.151378369419814,-0.1516,-0.1517,-0.1664
"20210426_SBL001_009",-0.1563,-0.104656257277003,-0.1049,-0.105,-0.1109
"20220202_ABD001_001",-0.1556,-0.148603935911487,-0.1488,-0.1489,-0.1558
"20220202_ABD001_003",-0.1556,-0.148603935911487,-0.1488,-0.1489,-0.1558
"20210426_SBL001_015",-0.1541,-0.155541106778371,-0.1558,-0.1558,-0.1609
"20220413_RKN001_004",-0.1534,-0.101546598237716,-0.1018,-0.1018,-0.1069
"20141007_ALR001_052",-0.1528,-0.10128200427083,-0.1015,-0.1016,-0.1062
"20170710_HSI001_517",-0.1528,-0.104085249893531,-0.1043,-0.1044,-0.1022
"20181025_KMN001_021",-0.1528,-0.100943637191514,-0.1012,-0.1013,-0.1033
"20201105_SBL001_041",-0.1527,-0.100862347026636,-0.1011,-0.1011,-0.104
"20170517_SWA001_019",-0.1524,-0.145945645010085,-0.1462,-0.1462,-0.1485
"20220413_RKN001_011",-0.1523,-0.152070915119346,-0.1523,-0.1524,-0.1642
"20201105_SBL001_036",-0.152,-0.100514219568051,-0.1007,-0.1008,-0.1029
"20201001_SBL001_006",-0.1512,-0.14584665409418,-0.1461,-0.1461,-0.1566
"20201008_SBL001_024",-0.1512,-0.0994768240826458,-0.09971,-0.09976,-0.1043
"20171120_HSI001_529",-0.1506,-0.150112390038083,-0.1504,-0.1504,-0.1522
"20220413_RKN001_003",-0.1501,-0.147571520245725,-0.1478,-0.1479,-0.1598
"20220413_RKN001_012",-0.1498,-0.0980862321291942,-0.09832,-0.09837,-0.1069
"20170517_SWA001_008",-0.1495,-0.151493121208022,-0.1517,-0.1518,-0.1576
"20190117_BWH001_004",-0.1495,-0.0978337125930702,-0.09806,-0.09814,-0.09668
"20220413_SBL001_064",-0.1491,-0.0980973284161479,-0.09833,-0.09837,-0.1113
"20161101_HSI001_470",-0.1488,-0.137272526685747,-0.1375,-0.1376,-0.1401
"20141007_ALR001_032",-0.1481,-0.0964539860181374,-0.09668,-0.09676,-0.0934
"20170710_HSI001_519",-0.1481,-0.098892318130958,-0.09912,-0.09918,-0.1033
"20190117_BWH001_009",-0.1481,-0.0964545829759166,-0.09668,-0.09676,-0.1043
"20201105_SBL001_030",-0.148,-0.143065073588217,-0.1433,-0.1434,-0.1456
"20220413_RKN001_013",-0.148,-0.145150994373514,-0.1454,-0.1455,-0.1558
"20220413_SBL001_057",-0.1472,-0.0960143166914486,-0.09624,-0.0963,-0.1065
"20141007_ALR001_063",-0.147,-0.0954183879600412,-0.09565,-0.09572,-0.09741
"20170710_HSI001_511",-0.147,-0.136262649026548,-0.1365,-0.1366,-0.1401
"20210426_SBL001_006",-0.1469,-0.140310609837239,-0.1405,-0.1406,-0.1551
"20220413_SBL001_054",-0.1469,-0.0963471590103235,-0.09658,-0.09664,-0.1065
"20170710_HSI001_508",-0.1463,-0.150788304591393,-0.151,-0.1511,-0.1533
"20161101_HSI001_485",-0.1459,-0.140386790599247,-0.1406,-0.1407,-0.1412
"20220413_SBL001_051",-0.1458,-0.145493069096764,-0.1457,-0.1458,-0.1591
"20150605_MGS001_001",-0.1455,-0.0940462505955764,-0.09427,-0.09433,-0.0996
"20150605_MGS001_002",-0.1455,-0.0940462505955764,-0.09427,-0.09433,-0.0996
